id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_usaha,satuan,tahun
232,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,270,UNIT,2021
233,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,240,UNIT,2021
234,32,JAWA BARAT,3271,KOTA BOGOR,627,UNIT,2021
235,32,JAWA BARAT,3272,KOTA SUKABUMI,324,UNIT,2021
236,32,JAWA BARAT,3273,KOTA BANDUNG,791,UNIT,2021
237,32,JAWA BARAT,3274,KOTA CIREBON,178,UNIT,2021
238,32,JAWA BARAT,3275,KOTA BEKASI,2752,UNIT,2021
239,32,JAWA BARAT,3276,KOTA DEPOK,1095,UNIT,2021
240,32,JAWA BARAT,3277,KOTA CIMAHI,113,UNIT,2021
241,32,JAWA BARAT,3278,KOTA TASIKMALAYA,591,UNIT,2021
242,32,JAWA BARAT,3279,KOTA BANJAR,92,UNIT,2021
243,32,JAWA BARAT,3201,KABUPATEN BOGOR,600,UNIT,2022
244,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,84,UNIT,2022
245,32,JAWA BARAT,3203,KABUPATEN CIANJUR,431,UNIT,2022
246,32,JAWA BARAT,3204,KABUPATEN BANDUNG,279,UNIT,2022
247,32,JAWA BARAT,3205,KABUPATEN GARUT,151,UNIT,2022
248,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,60,UNIT,2022
249,32,JAWA BARAT,3207,KABUPATEN CIAMIS,108,UNIT,2022
250,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,176,UNIT,2022
251,32,JAWA BARAT,3209,KABUPATEN CIREBON,328,UNIT,2022
252,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,92,UNIT,2022
253,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,202,UNIT,2022
254,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,150,UNIT,2022
255,32,JAWA BARAT,3213,KABUPATEN SUBANG,376,UNIT,2022
256,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,206,UNIT,2022
257,32,JAWA BARAT,3215,KABUPATEN KARAWANG,500,UNIT,2022
258,32,JAWA BARAT,3216,KABUPATEN BEKASI,1035,UNIT,2022
259,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,270,UNIT,2022
260,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,247,UNIT,2022
261,32,JAWA BARAT,3271,KOTA BOGOR,628,UNIT,2022
262,32,JAWA BARAT,3272,KOTA SUKABUMI,324,UNIT,2022
263,32,JAWA BARAT,3273,KOTA BANDUNG,649,UNIT,2022
264,32,JAWA BARAT,3274,KOTA CIREBON,196,UNIT,2022
265,32,JAWA BARAT,3275,KOTA BEKASI,3053,UNIT,2022
266,32,JAWA BARAT,3276,KOTA DEPOK,1520,UNIT,2022
267,32,JAWA BARAT,3277,KOTA CIMAHI,114,UNIT,2022
268,32,JAWA BARAT,3278,KOTA TASIKMALAYA,257,UNIT,2022
269,32,JAWA BARAT,3279,KOTA BANJAR,105,UNIT,2022
270,32,JAWA BARAT,3201,KABUPATEN BOGOR,600,UNIT,2023
271,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,87,UNIT,2023
272,32,JAWA BARAT,3203,KABUPATEN CIANJUR,431,UNIT,2023
273,32,JAWA BARAT,3204,KABUPATEN BANDUNG,279,UNIT,2023
274,32,JAWA BARAT,3205,KABUPATEN GARUT,151,UNIT,2023
275,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,60,UNIT,2023
276,32,JAWA BARAT,3207,KABUPATEN CIAMIS,177,UNIT,2023
277,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,148,UNIT,2023
278,32,JAWA BARAT,3209,KABUPATEN CIREBON,336,UNIT,2023
279,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,166,UNIT,2023
280,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,703,UNIT,2023
281,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,166,UNIT,2023
282,32,JAWA BARAT,3213,KABUPATEN SUBANG,376,UNIT,2023
283,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,204,UNIT,2023
284,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2156,UNIT,2023
285,32,JAWA BARAT,3216,KABUPATEN BEKASI,1463,UNIT,2023
286,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,275,UNIT,2023
287,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,272,UNIT,2023
288,32,JAWA BARAT,3271,KOTA BOGOR,1365,UNIT,2023
289,32,JAWA BARAT,3272,KOTA SUKABUMI,429,UNIT,2023
290,32,JAWA BARAT,3273,KOTA BANDUNG,1020,UNIT,2023
291,32,JAWA BARAT,3274,KOTA CIREBON,207,UNIT,2023
292,32,JAWA BARAT,3275,KOTA BEKASI,2991,UNIT,2023
293,32,JAWA BARAT,3276,KOTA DEPOK,1795,UNIT,2023
294,32,JAWA BARAT,3277,KOTA CIMAHI,114,UNIT,2023
295,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1541,UNIT,2023
296,32,JAWA BARAT,3279,KOTA BANJAR,62,UNIT,2023
297,32,JAWA BARAT,3201,KABUPATEN BOGOR,1183,UNIT,2024
298,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,87,UNIT,2024
299,32,JAWA BARAT,3203,KABUPATEN CIANJUR,378,UNIT,2024
300,32,JAWA BARAT,3204,KABUPATEN BANDUNG,232,UNIT,2024
301,32,JAWA BARAT,3205,KABUPATEN GARUT,151,UNIT,2024
302,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,148,UNIT,2024
303,32,JAWA BARAT,3207,KABUPATEN CIAMIS,271,UNIT,2024
304,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,189,UNIT,2024
305,32,JAWA BARAT,3209,KABUPATEN CIREBON,350,UNIT,2024
306,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,166,UNIT,2024
307,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,774,UNIT,2024
308,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,144,UNIT,2024
309,32,JAWA BARAT,3213,KABUPATEN SUBANG,380,UNIT,2024
310,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,204,UNIT,2024
311,32,JAWA BARAT,3215,KABUPATEN KARAWANG,82,UNIT,2024
312,32,JAWA BARAT,3216,KABUPATEN BEKASI,1384,UNIT,2024
313,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,286,UNIT,2024
314,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,982,UNIT,2024
315,32,JAWA BARAT,3271,KOTA BOGOR,1424,UNIT,2024
316,32,JAWA BARAT,3272,KOTA SUKABUMI,392,UNIT,2024
317,32,JAWA BARAT,3273,KOTA BANDUNG,1033,UNIT,2024
318,32,JAWA BARAT,3274,KOTA CIREBON,196,UNIT,2024
319,32,JAWA BARAT,3275,KOTA BEKASI,3099,UNIT,2024
320,32,JAWA BARAT,3276,KOTA DEPOK,1886,UNIT,2024
321,32,JAWA BARAT,3277,KOTA CIMAHI,366,UNIT,2024
322,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1616,UNIT,2024
323,32,JAWA BARAT,3279,KOTA BANJAR,94,UNIT,2024
